#,NAME,TYPE 1,TYPE 2,HP,ATTACK,DEFENSE,SP. ATK,SP. DEF,SPEED,
1,BULBASAUR,GRASS,POISON,45,49,49,65,65,45,
2,IVYSAUR,GRASS,POISON,60,62,63,80,80,60,
3,VENUSAUR,GRASS,POISON,80,82,83,100,100,80,
3,MEGA VENUSAUR,GRASS,POISON,80,100,123,122,120,80,
4,CHARMANDER,FIRE,,39,52,43,60,50,65,
5,CHARMELEON,FIRE,,58,64,58,80,65,80,
6,CHARIZARD,FIRE,FLYING,78,84,78,109,85,100,
6,MEGA CHARIZARD X,FIRE,DRAGON,78,130,111,130,85,100,
6,MEGA CHARIZARD Y,FIRE,FLYING,78,104,78,159,115,100,
7,SQUIRTLE,WATER,,44,48,65,50,64,43,
8,WARTORTLE,WATER,,59,63,80,65,80,58,
9,BLASTOISE,WATER,,79,83,100,85,105,78,
9,MEGA BLASTOISE,WATER,,79,103,120,135,115,78,
10,CATERPIE,BUG,,45,30,35,20,20,45,
11,METAPOD,BUG,,50,20,55,25,25,30,
12,BUTTERFREE,BUG,FLYING,60,45,50,90,80,70,
13,WEEDLE,BUG,POISON,40,35,30,20,20,50,
14,KAKUNA,BUG,POISON,45,25,50,25,25,35,
15,BEEDRILL,BUG,POISON,65,90,40,45,80,75,
15,MEGA BEEDRILL,BUG,POISON,65,150,40,15,80,145,
16,PIDGEY,NORMAL,FLYING,40,45,40,35,35,56,
17,PIDGEOTTO,NORMAL,FLYING,63,60,55,50,50,71,
18,PIDGEOT,NORMAL,FLYING,83,80,75,70,70,101,
18,MEGA PIDGEOT,NORMAL,FLYING,83,80,80,135,80,121,
19,RATTATA,NORMAL,,30,56,35,25,35,72,
20,RATICATE,NORMAL,,55,81,60,50,70,97,
21,SPEAROW,NORMAL,FLYING,40,60,30,31,31,70,
22,FEAROW,NORMAL,FLYING,65,90,65,61,61,100,
23,EKANS,POISON,,35,60,44,40,54,55,
24,ARBOK,POISON,,60,85,69,65,79,80,
25,PIKACHU,ELECTRIC,,35,55,40,50,50,90,
26,RAICHU,ELECTRIC,,60,90,55,90,80,110,
27,SANDSHREW,GROUND,,50,75,85,20,30,40,
28,SANDSLASH,GROUND,,75,100,110,45,55,65,
29,NIDORAN♀,POISON,,55,47,52,40,40,41,
30,NIDORINA,POISON,,70,62,67,55,55,56,
31,NIDOQUEEN,POISON,GROUND,90,92,87,75,85,76,
32,NIDORAN♂‚,POISON,,46,57,40,40,40,50,
33,NIDORINO,POISON,,61,72,57,55,55,65,
34,NIDOKING,POISON,GROUND,81,102,77,85,75,85,
35,CLEFAIRY,FAIRY,,70,45,48,60,65,35,
36,CLEFABLE,FAIRY,,95,70,73,95,90,60,
37,VULPIX,FIRE,,38,41,40,50,65,65,
38,NINETALES,FIRE,,73,76,75,81,100,100,
39,JIGGLYPUFF,NORMAL,FAIRY,115,45,20,45,25,20,
40,WIGGLYTUFF,NORMAL,FAIRY,140,70,45,85,50,45,
41,ZUBAT,POISON,FLYING,40,45,35,30,40,55,
42,GOLBAT,POISON,FLYING,75,80,70,65,75,90,
43,ODDISH,GRASS,POISON,45,50,55,75,65,30,
44,GLOOM,GRASS,POISON,60,65,70,85,75,40,
45,VILEPLUME,GRASS,POISON,75,80,85,110,90,50,
46,PARAS,BUG,GRASS,35,70,55,45,55,25,
47,PARASECT,BUG,GRASS,60,95,80,60,80,30,
48,VENONAT,BUG,POISON,60,55,50,40,55,45,
49,VENOMOTH,BUG,POISON,70,65,60,90,75,90,
50,DIGLETT,GROUND,,10,55,25,35,45,95,
51,DUGTRIO,GROUND,,35,80,50,50,70,120,
52,MEOWTH,NORMAL,,40,45,35,40,40,90,
53,PERSIAN,NORMAL,,65,70,60,65,65,115,
54,PSYDUCK,WATER,,50,52,48,65,50,55,
55,GOLDUCK,WATER,,80,82,78,95,80,85,
56,MANKEY,FIGHTING,,40,80,35,35,45,70,
57,PRIMEAPE,FIGHTING,,65,105,60,60,70,95,
58,GROWLITHE,FIRE,,55,70,45,70,50,60,
59,ARCANINE,FIRE,,90,110,80,100,80,95,
60,POLIWAG,WATER,,40,50,40,40,40,90,
61,POLIWHIRL,WATER,,65,65,65,50,50,90,
62,POLIWRATH,WATER,FIGHTING,90,95,95,70,90,70,
63,ABRA,PSYCHIC,,25,20,15,105,55,90,
